Country Name,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba (Neth.),Average surface temperature change (°C),33.27,33.8,33.46,33.74,33.53,33.77,32.97,33.27,33.57,33.77,33.91,33.87,33.67,32.8,33.23,33.57,33.0,33.13,33.37,33.87,33.67,33.51,34.07,34.14,34.44,34.2,34.44,34.1,33.7,34.17,34.1,33.6,33.27,34.43
Afghanistan,Average surface temperature change (°C),32.45,31.94,31.15,31.51,32.27,32.58,31.65,32.3,31.97,32.47,32.13,32.34,32.51,32.15,32.21,32.24,32.57,32.52,33.17,32.4,32.29,33.04,32.8,32.3,33.03,32.73,33.04,33.16,33.16,32.89,32.48,33.29,32.47,33.16
Angola,Average surface temperature change (°C),27.73,27.6,27.35,27.41,27.34,27.54,27.5,27.9,28.1,27.62,27.54,27.53,28.1,27.93,27.28,28.05,27.55,27.36,27.37,27.57,27.69,27.44,27.36,27.38,27.33,27.42,27.54,27.92,27.59,27.58,27.55,27.75,27.51,27.29
Anguilla (U.K.),Average surface temperature change (°C),32.07,31.94,31.74,31.93,31.94,32.17,31.5,32.07,32.37,31.91,32.14,32.37,32.34,31.3,31.5,32.0,31.94,31.9,31.81,32.08,32.2,32.03,31.97,31.97,32.07,32.17,32.27,32.1,31.9,32.44,32.37,31.94,31.74,32.94
ALA,Average surface temperature change (°C),18.08,17.87,19.41,16.33,19.78,18.95,18.27,20.87,16.0,19.83,17.25,19.31,21.32,19.67,18.34,19.31,21.14,19.27,18.86,18.7,19.86,19.92,18.21,20.09,19.8,18.46,18.69,17.83,21.21,19.77,19.38,20.46,20.23,19.24
Albania,Average surface temperature change (°C),26.57,26.12,26.79,27.31,27.94,26.59,26.68,26.25,28.12,27.45,28.5,27.35,27.19,28.82,26.66,26.3,26.82,28.78,28.07,27.49,27.51,27.7,29.67,27.96,26.8,28.62,27.73,28.98,27.59,28.65,27.41,28.58,28.91,28.33
Andorra,Average surface temperature change (°C),21.46,21.82,19.9,20.78,22.87,21.32,20.48,20.53,21.7,21.22,21.18,21.63,20.4,23.91,21.68,22.2,22.79,20.71,20.92,22.67,21.41,20.46,22.46,21.82,20.53,23.11,22.36,23.1,23.1,23.74,22.14,22.22,25.12,23.33
United Arab Emirates,Average surface temperature change (°C),41.75,40.63,41.52,41.8,41.56,41.37,41.69,41.64,42.83,42.57,42.56,41.74,42.0,41.78,42.18,41.92,42.38,41.91,41.72,42.37,42.11,42.13,42.46,41.73,42.83,42.51,42.5,42.52,43.14,42.96,43.0,43.06,42.28,43.18
Argentina,Average surface temperature change (°C),15.56,14.76,14.3,15.1,15.73,14.65,15.15,15.69,15.74,14.46,14.06,15.34,14.44,15.22,15.32,14.91,16.06,13.41,15.52,15.86,14.55,14.46,15.12,15.53,16.04,16.22,14.81,15.97,14.07,15.36,15.21,16.0,15.3,16.07
Armenia,Average surface temperature change (°C),25.92,25.64,24.06,24.68,24.68,25.52,25.66,25.5,26.77,26.57,27.4,26.95,25.67,26.18,26.35,26.71,28.07,26.05,26.63,25.12,27.78,26.81,27.08,26.62,27.67,27.76,27.1,28.4,27.79,27.87,26.32,28.08,27.8,27.22
American Samoa (U.S.),Average surface temperature change (°C),29.3,29.17,29.23,28.33,28.7,29.54,29.93,28.84,28.94,29.8,29.54,30.37,29.83,28.7,29.37,28.93,29.29,29.83,28.83,29.3,29.6,29.77,28.83,29.53,28.8,28.37,29.07,29.27,29.16,29.63,29.6,29.23,29.23,29.87
French Southern and Antarctic Lands (Fr.),Average surface temperature change (°C),3.81,4.89,3.69,4.61,4.32,3.97,3.88,4.79,4.54,3.29,4.04,3.97,4.56,4.73,4.32,3.71,3.24,2.8,3.97,4.37,5.11,3.8,5.24,4.24,3.3,4.48,5.14,5.49,4.33,4.99,4.02,5.34,3.78,5.14
Antigua and Barbuda,Average surface temperature change (°C),31.41,31.35,31.17,31.36,31.38,31.72,31.14,31.79,32.1,31.65,31.65,31.99,31.73,31.11,31.11,31.54,31.51,31.43,31.39,31.64,31.78,31.59,31.5,31.5,31.59,31.7,31.78,31.61,31.33,31.84,31.81,31.41,31.3,32.38
Australia,Average surface temperature change (°C),21.43,22.76,22.22,22.15,22.59,22.42,22.66,21.75,22.06,22.72,22.13,22.55,23.17,22.61,22.33,22.35,22.28,21.87,21.9,23.15,21.53,22.68,22.39,23.25,22.69,22.72,22.17,23.66,23.13,22.98,23.37,23.0,22.19,23.47
Austria,Average surface temperature change (°C),20.46,20.24,21.99,19.74,22.1,19.99,19.5,19.92,20.54,19.8,20.84,20.65,21.3,23.6,20.1,19.67,20.91,21.33,20.98,20.92,21.01,20.73,21.88,21.87,20.42,23.33,21.42,22.96,23.17,23.28,21.55,21.78,23.52,22.82
Azerbaijan,Average surface temperature change (°C),28.84,29.02,27.26,27.97,27.64,28.99,28.89,28.86,30.28,29.9,30.37,29.84,28.99,28.9,29.31,29.68,31.09,29.4,29.57,28.58,31.4,30.27,30.38,29.65,30.86,31.02,30.31,31.26,30.95,30.92,29.71,31.38,30.86,30.45
Burundi,Average surface temperature change (°C),26.97,26.94,26.81,27.15,27.04,27.56,27.53,27.59,27.34,27.42,27.31,26.96,27.59,27.26,27.1,27.44,26.97,26.48,27.12,27.38,27.39,27.05,26.94,27.03,26.79,26.9,26.89,27.02,26.48,27.08,26.68,26.65,26.53,27.55
Belgium,Average surface temperature change (°C),22.68,22.22,23.13,21.59,23.93,23.62,21.95,23.08,21.77,22.85,21.79,22.81,22.71,25.21,22.34,22.52,23.4,21.88,22.58,23.11,23.33,21.8,22.32,23.45,22.41,23.94,23.0,23.59,25.41,25.0,24.18,22.75,25.82,24.16
Benin,Average surface temperature change (°C),30.56,30.02,30.11,30.67,30.11,30.89,30.67,30.73,30.79,30.68,30.52,30.48,31.26,30.39,30.56,30.49,31.32,30.84,30.56,31.17,30.98,31.24,30.31,30.83,31.13,31.31,30.81,30.75,30.9,30.63,30.87,31.08,30.73,31.29
"Bonaire, Sint Eustatius and Saba",Average surface temperature change (°C),31.77,31.67,31.54,31.77,31.77,32.07,31.47,32.1,32.4,31.97,32.0,32.37,32.07,31.4,31.4,31.97,31.84,31.77,31.7,31.94,32.1,31.97,31.84,31.87,31.97,32.07,32.2,31.97,31.73,32.27,32.24,31.84,31.67,32.87
